search_name;card_name;stock_amount;price;search_url
counterspell;Counterspell;0 ks;19999 Kč;https://www.cernyrytir.cz/index.php3?akce=3&limit=0&jmenokarty=counterspell&edice_magic=libovolna&poczob=0&foil=A&triditpodle=ceny&hledej_pouze_magic=1&submit=Vyhledej
counterspell;Counterspell;0 ks;16249 Kč;https://www.cernyrytir.cz/index.php3?akce=3&limit=0&jmenokarty=counterspell&edice_magic=libovolna&poczob=0&foil=A&triditpodle=ceny&hledej_pouze_magic=1&submit=Vyhledej
counterspell;Counterspell;0 ks;2499 Kč;https://www.cernyrytir.cz/index.php3?akce=3&limit=0&jmenokarty=counterspell&edice_magic=libovolna&poczob=0&foil=A&triditpodle=ceny&hledej_pouze_magic=1&submit=Vyhledej
counterspell;Counterspell;0 ks;749 Kč;https://www.cernyrytir.cz/index.php3?akce=3&limit=0&jmenokarty=counterspell&edice_magic=libovolna&poczob=0&foil=A&triditpodle=ceny&hledej_pouze_magic=1&submit=Vyhledej
counterspell;Counterspell (#2 - 331);0 ks;449 Kč;https://www.cernyrytir.cz/index.php3?akce=3&limit=0&jmenokarty=counterspell&edice_magic=libovolna&poczob=0&foil=A&triditpodle=ceny&hledej_pouze_magic=1&submit=Vyhledej
counterspell;Counterspell - foil / japanese;3 ks;249 Kč;https://www.cernyrytir.cz/index.php3?akce=3&limit=0&jmenokarty=counterspell&edice_magic=libovolna&poczob=0&foil=A&triditpodle=ceny&hledej_pouze_magic=1&submit=Vyhledej
counterspell;Counterspell;0 ks;189 Kč;https://www.cernyrytir.cz/index.php3?akce=3&limit=0&jmenokarty=counterspell&edice_magic=libovolna&poczob=0&foil=A&triditpodle=ceny&hledej_pouze_magic=1&submit=Vyhledej
counterspell;Counterspell (borderless);3 ks;175 Kč;https://www.cernyrytir.cz/index.php3?akce=3&limit=0&jmenokarty=counterspell&edice_magic=libovolna&poczob=0&foil=A&triditpodle=ceny&hledej_pouze_magic=1&submit=Vyhledej
counterspell;Counterspell;0 ks;175 Kč;https://www.cernyrytir.cz/index.php3?akce=3&limit=0&jmenokarty=counterspell&edice_magic=libovolna&poczob=0&foil=A&triditpodle=ceny&hledej_pouze_magic=1&submit=Vyhledej
counterspell;Counterspell (#3 - 1589);0 ks;149 Kč;https://www.cernyrytir.cz/index.php3?akce=3&limit=0&jmenokarty=counterspell&edice_magic=libovolna&poczob=0&foil=A&triditpodle=ceny&hledej_pouze_magic=1&submit=Vyhledej
counterspell;Counterspell;0 ks;115 Kč;https://www.cernyrytir.cz/index.php3?akce=3&limit=0&jmenokarty=counterspell&edice_magic=libovolna&poczob=0&foil=A&triditpodle=ceny&hledej_pouze_magic=1&submit=Vyhledej
counterspell;Counterspell (#1 - 175) - foil;2 ks;115 Kč;https://www.cernyrytir.cz/index.php3?akce=3&limit=0&jmenokarty=counterspell&edice_magic=libovolna&poczob=0&foil=A&triditpodle=ceny&hledej_pouze_magic=1&submit=Vyhledej
counterspell;Counterspell;0 ks;99 Kč;https://www.cernyrytir.cz/index.php3?akce=3&limit=0&jmenokarty=counterspell&edice_magic=libovolna&poczob=0&foil=A&triditpodle=ceny&hledej_pouze_magic=1&submit=Vyhledej
