search_name;card_name;stock_amount;price;search_url
Dracogenesis;Dracogenesis;6 ks;449 Kč;https://www.cernyrytir.cz/index.php3?akce=3&limit=0&jmenokarty=Dracogenesis&edice_magic=libovolna&poczob=0&foil=A&triditpodle=ceny&hledej_pouze_magic=1&submit=Vyhledej
Maelstrom of the Spirit Dragon;Maelstrom of the Spirit Dragon;6 ks;49 Kč;https://www.cernyrytir.cz/index.php3?akce=3&limit=0&jmenokarty=Maelstrom%20of%20the%20Spirit%20Dragon&edice_magic=libovolna&poczob=0&foil=A&triditpodle=ceny&hledej_pouze_magic=1&submit=Vyhledej
Ganax, Astral Hunter;Ganax, Astral Hunter (showcase, etched) - foil;8 ks;25 Kč;https://www.cernyrytir.cz/index.php3?akce=3&limit=0&jmenokarty=Ganax,%20Astral%20Hunter&edice_magic=libovolna&poczob=0&foil=A&triditpodle=ceny&hledej_pouze_magic=1&submit=Vyhledej
Dragon Tempest;Dragon Tempest;2 ks;125 Kč;https://www.cernyrytir.cz/index.php3?akce=3&limit=0&jmenokarty=Dragon%20Tempest&edice_magic=libovolna&poczob=0&foil=A&triditpodle=ceny&hledej_pouze_magic=1&submit=Vyhledej
Thrakkus the Butcher;Thrakkus the Butcher (showcase) - foil;8 ks;12 Kč;https://www.cernyrytir.cz/index.php3?akce=3&limit=0&jmenokarty=Thrakkus%20the%20Butcher&edice_magic=libovolna&poczob=0&foil=A&triditpodle=ceny&hledej_pouze_magic=1&submit=Vyhledej
Atarka, World Render;Atarka, World Render;6 ks;9 Kč;https://www.cernyrytir.cz/index.php3?akce=3&limit=0&jmenokarty=Atarka,%20World%20Render&edice_magic=libovolna&poczob=0&foil=A&triditpodle=ceny&hledej_pouze_magic=1&submit=Vyhledej
Dragonlord's Servant;Dragonlord´s Servant;12 ks;25 Kč;https://www.cernyrytir.cz/index.php3?akce=3&limit=0&jmenokarty=Dragonlord's%20Servant&edice_magic=libovolna&poczob=0&foil=A&triditpodle=ceny&hledej_pouze_magic=1&submit=Vyhledej
Korlessa, Scale Singer;Korlessa, Scale Singer - foil;6 ks;12 Kč;https://www.cernyrytir.cz/index.php3?akce=3&limit=0&jmenokarty=Korlessa,%20Scale%20Singer&edice_magic=libovolna&poczob=0&foil=A&triditpodle=ceny&hledej_pouze_magic=1&submit=Vyhledej
Lathliss, Dragon Queen;Lathliss, Dragon Queen (#2 - 1146);4 ks;149 Kč;https://www.cernyrytir.cz/index.php3?akce=3&limit=0&jmenokarty=Lathliss,%20Dragon%20Queen&edice_magic=libovolna&poczob=0&foil=A&triditpodle=ceny&hledej_pouze_magic=1&submit=Vyhledej
Garruk's Uprising;Garruk´s Uprising;30 ks;12 Kč;https://www.cernyrytir.cz/index.php3?akce=3&limit=0&jmenokarty=Garruk's%20Uprising&edice_magic=libovolna&poczob=0&foil=A&triditpodle=ceny&hledej_pouze_magic=1&submit=Vyhledej
Cultivate;Cultivate;12 ks;19 Kč;https://www.cernyrytir.cz/index.php3?akce=3&limit=0&jmenokarty=Cultivate&edice_magic=libovolna&poczob=0&foil=A&triditpodle=ceny&hledej_pouze_magic=1&submit=Vyhledej
Earthquake Dragon;Earthquake Dragon;12 ks;49 Kč;https://www.cernyrytir.cz/index.php3?akce=3&limit=0&jmenokarty=Earthquake%20Dragon&edice_magic=libovolna&poczob=0&foil=A&triditpodle=ceny&hledej_pouze_magic=1&submit=Vyhledej
Lozhan, Dragons' Legacy;Lozhan, Dragons´ Legacy (showcase);8 ks;7 Kč;https://www.cernyrytir.cz/index.php3?akce=3&limit=0&jmenokarty=Lozhan,%20Dragons'%20Legacy&edice_magic=libovolna&poczob=0&foil=A&triditpodle=ceny&hledej_pouze_magic=1&submit=Vyhledej
Wrathful Red Dragon;Wrathful Red Dragon;12 ks;75 Kč;https://www.cernyrytir.cz/index.php3?akce=3&limit=0&jmenokarty=Wrathful%20Red%20Dragon&edice_magic=libovolna&poczob=0&foil=A&triditpodle=ceny&hledej_pouze_magic=1&submit=Vyhledej
Scaled Nurturer;Scaled Nurturer;20 ks;7 Kč;https://www.cernyrytir.cz/index.php3?akce=3&limit=0&jmenokarty=Scaled%20Nurturer&edice_magic=libovolna&poczob=0&foil=A&triditpodle=ceny&hledej_pouze_magic=1&submit=Vyhledej
